Name,First Places,Second Places,Third Places,PolesPositions,WorldChampionships,Country,Score,NormalizedScore
Rittberger Herbert,4,8.0,2.0,1.0,0.0,DE,35.5,0.044458359423919847
Dodds John,4,6.0,11.0,3.0,0.0,AU,43.5,0.054477144646211645
Redding Scott,4,5.0,9.0,3.0,0.0,GB,39.5,0.049467752035065746
Arbolino Tony,4,5.0,4.0,6.0,0.0,IT,39.0,0.048841577958672514
Parlotti Gilberto,4,5.0,3.0,0.0,0.0,IT,29.0,0.036318096430807766
Katayama Yoshimi,4,5.0,3.0,0.0,0.0,JP,29.0,0.036318096430807766
Ruffo Bruno,4,5.0,1.0,0.0,3.0,IT,45.0,0.056355666875391355
Stastny Franta,4,4.0,12.0,0.0,0.0,0,36.0,0.045084533500313086
Sarron Dominique,4,4.0,8.0,7.0,0.0,FR,42.5,0.053224796493425174
Herrero Santiago,4,4.0,3.0,0.0,0.0,ES,27.0,0.033813400125234816
Takahashi Kuninitsu,4,3.0,7.0,0.0,0.0,JP,29.0,0.036318096430807766
Vietti Celestino,4,3.0,5.0,2.0,0.0,0,30.0,0.03757044458359424
Antonelli Niccolò,4,3.0,4.0,9.0,0.0,IT,39.5,0.049467752035065746
Pagani Nello,4,2.0,5.0,0.0,1.0,IT,31.0,0.038822792736380715
Waibel Gerhard,4,2.0,5.0,1.0,0.0,DE,26.5,0.03318722604884158
Smith Barry,4,2.0,4.0,0.0,0.0,AU,24.0,0.03005635566687539
Lodewijkx Paul,4,1.0,1.0,0.0,0.0,NL,19.0,0.023794614902943018
Drapal Janos,4,0.0,1.0,0.0,0.0,HU,17.0,0.021289918597370068
Smith Bradley,3,10.0,12.0,9.0,0.0,GB,57.5,0.07201001878522229
Di Giannantonio Fabio,3,10.0,9.0,1.0,0.0,0,42.5,0.053224796493425174
Findlay Jack,3,9.0,13.0,1.0,0.0,AU,44.5,0.05572949279899812
Duff Mike,3,9.0,12.0,0.0,0.0,CA,42.0,0.052598622417031934
Perris Frank,3,8.0,7.0,0.0,0.0,GB,35.0,0.043832185347526614
Roth Reinhold,3,8.0,4.0,2.0,0.0,DE,35.0,0.043832185347526614
Robb Tommy,3,7.0,18.0,0.0,0.0,IE,44.0,0.055103318722604884
Cornu Jacques,3,7.0,11.0,3.0,0.0,CH,41.5,0.051972448340638695
Grassetti Silvio,3,7.0,11.0,0.0,0.0,IT,37.0,0.046336881653099564
Pagani Alberto,3,7.0,9.0,0.0,0.0,IT,35.0,0.043832185347526614
Rougerie Michel,3,7.0,7.0,6.0,0.0,FR,42.0,0.052598622417031934
Beattie Daryl,3,7.0,4.0,0.0,0.0,AU,30.0,0.03757044458359424
Hayden Nicky,3,6.0,19.0,5.0,1.0,US,56.5,0.07075767063243582
Fernandez Patrick,3,6.0,17.0,4.0,0.0,FR,47.0,0.058860363180964305
Crutchlow Cal,3,6.0,10.0,4.0,0.0,GB,40.0,0.050093926111458985
